tamanho: 10
Tempo: 16.648707s, Frequência: 322.68Hz, Nota: 5, Amplitude: 152.73
Tempo: 16.671927s, Frequência: 322.68Hz, Nota: 5, Amplitude: 320.64
Tempo: 16.695147s, Frequência: 301.17Hz, Nota: 4, Amplitude: 316.83
Tempo: 16.718367s, Frequência: 301.17Hz, Nota: 4, Amplitude: 191.22
Tempo: 16.741587s, Frequência: 301.17Hz, Nota: 4, Amplitude: 135.38
Tempo: 16.764807s, Frequência: 301.17Hz, Nota: 4, Amplitude: 103.76

tamanho: 12
Tempo: 17.345306s, Frequência: 301.17Hz, Nota: 4, Amplitude: 149.50
Tempo: 17.368526s, Frequência: 215.12Hz, Nota: 1, Amplitude: 209.88
Tempo: 17.391746s, Frequência: 193.61Hz, Nota: 6, Amplitude: 175.40
Tempo: 17.414966s, Frequência: 129.07Hz, Nota: 3, Amplitude: 269.19
Tempo: 17.438186s, Frequência: 129.07Hz, Nota: 3, Amplitude: 336.47
Tempo: 17.461406s, Frequência: 107.56Hz, Nota: 1, Amplitude: 350.63
Tempo: 17.484626s, Frequência: 107.56Hz, Nota: 1, Amplitude: 321.00
Tempo: 17.507846s, Frequência: 86.05Hz, Nota: 5, Amplitude: 230.51
Tempo: 17.531066s, Frequência: 86.05Hz, Nota: 5, Amplitude: 182.42
Tempo: 17.554286s, Frequência: 86.05Hz, Nota: 5, Amplitude: 121.60
Tempo: 17.577506s, Frequência: 86.05Hz, Nota: 5, Amplitude: 87.88
Tempo: 17.600726s, Frequência: 86.05Hz, Nota: 5, Amplitude: 78.84

tamanho: 19
Tempo: 18.018685s, Frequência: 344.20Hz, Nota: 5, Amplitude: 92.43
Tempo: 18.041905s, Frequência: 322.68Hz, Nota: 5, Amplitude: 251.64
Tempo: 18.065125s, Frequência: 301.17Hz, Nota: 4, Amplitude: 308.76
Tempo: 18.088345s, Frequência: 301.17Hz, Nota: 4, Amplitude: 229.10
Tempo: 18.111565s, Frequência: 301.17Hz, Nota: 4, Amplitude: 157.34
Tempo: 18.134785s, Frequência: 301.17Hz, Nota: 4, Amplitude: 124.10
Tempo: 18.715283s, Frequência: 301.17Hz, Nota: 4, Amplitude: 99.42
Tempo: 18.738503s, Frequência: 258.15Hz, Nota: 3, Amplitude: 157.80
Tempo: 18.761723s, Frequência: 215.12Hz, Nota: 1, Amplitude: 188.68
Tempo: 18.784943s, Frequência: 129.07Hz, Nota: 3, Amplitude: 192.88
Tempo: 18.808163s, Frequência: 129.07Hz, Nota: 3, Amplitude: 304.82
Tempo: 18.831383s, Frequência: 129.07Hz, Nota: 3, Amplitude: 310.36
Tempo: 18.854603s, Frequência: 107.56Hz, Nota: 1, Amplitude: 313.73
Tempo: 18.877823s, Frequência: 107.56Hz, Nota: 1, Amplitude: 236.24
Tempo: 18.901043s, Frequência: 86.05Hz, Nota: 5, Amplitude: 124.91
Tempo: 18.924263s, Frequência: 86.05Hz, Nota: 5, Amplitude: 100.46
Tempo: 18.947483s, Frequência: 86.05Hz, Nota: 5, Amplitude: 96.89
Tempo: 18.970703s, Frequência: 86.05Hz, Nota: 5, Amplitude: 90.41
Tempo: 18.993923s, Frequência: 86.05Hz, Nota: 5, Amplitude: 82.27

tamanho: 5
Tempo: 19.411882s, Frequência: 322.68Hz, Nota: 5, Amplitude: 194.96
Tempo: 19.435102s, Frequência: 301.17Hz, Nota: 4, Amplitude: 332.19
Tempo: 19.458322s, Frequência: 301.17Hz, Nota: 4, Amplitude: 271.16
Tempo: 19.481542s, Frequência: 301.17Hz, Nota: 4, Amplitude: 175.57
Tempo: 19.504762s, Frequência: 301.17Hz, Nota: 4, Amplitude: 146.82

tamanho: 17
Tempo: 20.108481s, Frequência: 301.17Hz, Nota: 4, Amplitude: 177.22
Tempo: 20.131701s, Frequência: 215.12Hz, Nota: 1, Amplitude: 249.00
Tempo: 20.154921s, Frequência: 193.61Hz, Nota: 6, Amplitude: 165.57
Tempo: 20.178141s, Frequência: 129.07Hz, Nota: 3, Amplitude: 275.92
Tempo: 20.201361s, Frequência: 129.07Hz, Nota: 3, Amplitude: 306.83
Tempo: 20.224580s, Frequência: 107.56Hz, Nota: 1, Amplitude: 308.69
Tempo: 20.247800s, Frequência: 107.56Hz, Nota: 1, Amplitude: 254.51
Tempo: 20.271020s, Frequência: 107.56Hz, Nota: 1, Amplitude: 133.28
Tempo: 20.294240s, Frequência: 86.05Hz, Nota: 5, Amplitude: 116.66
Tempo: 20.317460s, Frequência: 86.05Hz, Nota: 5, Amplitude: 110.74
Tempo: 20.781859s, Frequência: 322.68Hz, Nota: 5, Amplitude: 124.61
Tempo: 20.805079s, Frequência: 322.68Hz, Nota: 5, Amplitude: 300.65
Tempo: 20.828299s, Frequência: 301.17Hz, Nota: 4, Amplitude: 335.73
Tempo: 20.851519s, Frequência: 301.17Hz, Nota: 4, Amplitude: 223.70
Tempo: 20.874739s, Frequência: 301.17Hz, Nota: 4, Amplitude: 166.43
Tempo: 20.897959s, Frequência: 301.17Hz, Nota: 4, Amplitude: 143.82
Tempo: 20.921179s, Frequência: 301.17Hz, Nota: 4, Amplitude: 87.64

tamanho: 14
Tempo: 21.478458s, Frequência: 279.66Hz, Nota: 3, Amplitude: 168.69
Tempo: 21.501678s, Frequência: 215.12Hz, Nota: 1, Amplitude: 185.21
Tempo: 21.524898s, Frequência: 193.61Hz, Nota: 6, Amplitude: 187.39
Tempo: 21.548118s, Frequência: 129.07Hz, Nota: 3, Amplitude: 196.66
Tempo: 21.571338s, Frequência: 129.07Hz, Nota: 3, Amplitude: 284.75
Tempo: 21.594558s, Frequência: 107.56Hz, Nota: 1, Amplitude: 283.85
Tempo: 21.617778s, Frequência: 107.56Hz, Nota: 1, Amplitude: 282.75
Tempo: 21.640998s, Frequência: 107.56Hz, Nota: 1, Amplitude: 195.90
Tempo: 21.664218s, Frequência: 86.05Hz, Nota: 5, Amplitude: 127.31
Tempo: 21.687438s, Frequência: 86.05Hz, Nota: 5, Amplitude: 143.99
Tempo: 21.710658s, Frequência: 86.05Hz, Nota: 5, Amplitude: 150.66
Tempo: 21.733878s, Frequência: 86.05Hz, Nota: 5, Amplitude: 131.77
Tempo: 21.757098s, Frequência: 86.05Hz, Nota: 5, Amplitude: 107.48
Tempo: 21.780317s, Frequência: 86.05Hz, Nota: 5, Amplitude: 89.48

tamanho: 23
Tempo: 22.175057s, Frequência: 322.68Hz, Nota: 5, Amplitude: 227.50
Tempo: 22.198277s, Frequência: 301.17Hz, Nota: 4, Amplitude: 344.78
Tempo: 22.221497s, Frequência: 301.17Hz, Nota: 4, Amplitude: 265.44
Tempo: 22.244717s, Frequência: 301.17Hz, Nota: 4, Amplitude: 160.13
Tempo: 22.267937s, Frequência: 301.17Hz, Nota: 4, Amplitude: 128.71
Tempo: 22.291156s, Frequência: 301.17Hz, Nota: 4, Amplitude: 82.39
Tempo: 22.407256s, Frequência: 279.66Hz, Nota: 3, Amplitude: 103.74
Tempo: 22.430476s, Frequência: 258.15Hz, Nota: 3, Amplitude: 147.02
Tempo: 22.453696s, Frequência: 258.15Hz, Nota: 3, Amplitude: 129.33
Tempo: 22.476916s, Frequência: 236.63Hz, Nota: 2, Amplitude: 78.15
Tempo: 22.523356s, Frequência: 322.68Hz, Nota: 5, Amplitude: 205.47
Tempo: 22.546576s, Frequência: 301.17Hz, Nota: 4, Amplitude: 288.55
Tempo: 22.569796s, Frequência: 301.17Hz, Nota: 4, Amplitude: 214.87
Tempo: 22.593016s, Frequência: 301.17Hz, Nota: 4, Amplitude: 138.84
